feature,importance
EXT_SOURCE_1,265
PAYMENT_RATE,244
EXT_SOURCE_2,220
EXT_SOURCE_3,207
DAYS_EMPLOYED,124
DAYS_BIRTH,109
INSTAL_DPD_MEAN,103
AMT_ANNUITY,99
APPROVED_CNT_PAYMENT_MEAN,98
INSTAL_AMT_PAYMENT_SUM,79
AMT_GOODS_PRICE,69
OWN_CAR_AGE,68
AMT_CREDIT,65
DAYS_ID_PUBLISH,64
ANNUITY_INCOME_PERC,62
CODE_GENDER,61
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,59
PREV_CNT_PAYMENT_MEAN,55
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,54
BURO_DAYS_CREDIT_MAX,54
ACTIVE_DAYS_CREDIT_MAX,51
INSTAL_PAYMENT_DIFF_MEAN,49
PREV_APP_CREDIT_PERC_MIN,45
INSTAL_DAYS_ENTRY_PAYMENT_MAX,44
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,44
NAME_FAMILY_STATUS_Married,42
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,41
POS_NAME_CONTRACT_STATUS_Active_MEAN,37
INSTAL_AMT_PAYMENT_MEAN,37
INSTAL_DAYS_ENTRY_PAYMENT_SUM,36
DAYS_EMPLOYED_PERC,36
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,36
PREV_NAME_YIELD_GROUP_low_action_MEAN,35
CC_CNT_DRAWINGS_CURRENT_VAR,33
REGION_RATING_CLIENT_W_CITY,33
INSTAL_PAYMENT_DIFF_SUM,32
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,32
POS_SK_DPD_DEF_MEAN,31
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,31
ACTIVE_AMT_CREDIT_SUM_MAX,31
NAME_EDUCATION_TYPE_Higher_education,31
BURO_AMT_CREDIT_SUM_DEBT_MEAN,30
NAME_CONTRACT_TYPE_Cash_loans,30
PREV_PRODUCT_COMBINATION_Cash_X_Sell_low_MEAN,30
CLOSED_AMT_CREDIT_SUM_SUM,29
APPROVED_DAYS_DECISION_MAX,29
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,29
ACTIVE_AMT_CREDIT_SUM_SUM,29
APPROVED_AMT_ANNUITY_MEAN,29
CLOSED_DAYS_CREDIT_MAX,28
INSTAL_DBD_SUM,28
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,28
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,28
DAYS_REGISTRATION,28
CLOSED_AMT_CREDIT_SUM_MEAN,28
PREV_AMT_ANNUITY_MEAN,27
APPROVED_AMT_DOWN_PAYMENT_MAX,27
CC_CNT_DRAWINGS_CURRENT_MEAN,27
PREV_APP_CREDIT_PERC_MEAN,26
BURO_CREDIT_TYPE_Mortgage_MEAN,26
INSTAL_PAYMENT_PERC_SUM,26
POS_MONTHS_BALANCE_SIZE,26
INSTAL_AMT_PAYMENT_MIN,26
DAYS_LAST_PHONE_CHANGE,25
INCOME_CREDIT_PERC,25
INSTAL_PAYMENT_PERC_MEAN,24
BURO_CREDIT_TYPE_Microloan_MEAN,23
BURO_DAYS_CREDIT_MEAN,23
INSTAL_AMT_INSTALMENT_MAX,23
PREV_NAME_YIELD_GROUP_high_MEAN,22
BURO_DAYS_CREDIT_ENDDATE_MAX,22
APPROVED_CNT_PAYMENT_SUM,21
PREV_PRODUCT_COMBINATION_POS_industry_with_interest_MEAN,20
FLAG_DOCUMENT_3,20
REGION_POPULATION_RELATIVE,19
PREV_AMT_ANNUITY_MIN,18
BURO_AMT_CREDIT_SUM_MAX,18
BURO_AMT_CREDIT_SUM_MEAN,18
NAME_EDUCATION_TYPE_Secondary_secondary_special,17
AMT_REQ_CREDIT_BUREAU_QRT,17
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,17
PREV_DAYS_DECISION_MEAN,17
ACTIVE_DAYS_CREDIT_MEAN,16
CLOSED_DAYS_CREDIT_ENDDATE_MAX,16
OCCUPATION_TYPE_Core_staff,16
INSTAL_AMT_PAYMENT_MAX,16
DEF_60_CNT_SOCIAL_CIRCLE,16
BURO_CREDIT_ACTIVE_Active_MEAN,16
CLOSED_DAYS_CREDIT_VAR,16
PREV_AMT_DOWN_PAYMENT_MAX,16
DEF_30_CNT_SOCIAL_CIRCLE,15
BURO_CREDIT_ACTIVE_Closed_MEAN,15
POS_MONTHS_BALANCE_MAX,15
APPROVED_APP_CREDIT_PERC_MEAN,15
BURO_DAYS_CREDIT_ENDDATE_MEAN,15
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,15
PREV_APP_CREDIT_PERC_VAR,15
INCOME_PER_PERSON,15
REG_CITY_NOT_LIVE_CITY,14
INSTAL_DBD_MAX,14
APARTMENTS_AVG,14
PREV_PRODUCT_COMBINATION_Cash_Street_low_MEAN,14
CLOSED_AMT_CREDIT_SUM_MAX,14
REFUSED_DAYS_DECISION_MAX,14
INSTAL_PAYMENT_DIFF_MAX,14
PREV_DAYS_DECISION_MIN,14
ACTIVE_AMT_CREDIT_SUM_MEAN,14
APPROVED_DAYS_DECISION_MIN,13
PREV_APP_CREDIT_PERC_MAX,13
PREV_RATE_DOWN_PAYMENT_MAX,13
LIVINGAREA_AVG,13
YEARS_BEGINEXPLUATATION_MODE,13
PREV_CHANNEL_TYPE_Channel_of_corporate_sales_MEAN,13
APPROVED_APP_CREDIT_PERC_MAX,13
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,12
BURO_STATUS_1_MEAN_MEAN,12
PREV_CHANNEL_TYPE_AP_Cash_loan__MEAN,12
APPROVED_AMT_CREDIT_MAX,12
PREV_NAME_YIELD_GROUP_low_normal_MEAN,12
PREV_HOUR_APPR_PROCESS_START_MEAN,12
BURO_AMT_CREDIT_SUM_SUM,11
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,11
POS_MONTHS_BALANCE_MEAN,11
APPROVED_HOUR_APPR_PROCESS_START_MEAN,11
PREV_NAME_PRODUCT_TYPE_walk_in_MEAN,11
BURO_MONTHS_BALANCE_SIZE_MEAN,11
INSTAL_DBD_MEAN,11
PREV_AMT_ANNUITY_MAX,11
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,11
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,11
PREV_PRODUCT_COMBINATION_POS_mobile_with_interest_MEAN,11
INSTAL_AMT_INSTALMENT_MEAN,11
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,11
APPROVED_APP_CREDIT_PERC_VAR,10
ACTIVE_DAYS_CREDIT_VAR,10
REFUSED_APP_CREDIT_PERC_MIN,10
PREV_CHANNEL_TYPE_Contact_center_MEAN,10
BURO_AMT_CREDIT_SUM_DEBT_MAX,10
PREV_NAME_TYPE_SUITE_nan_MEAN,10
PREV_AMT_CREDIT_MEAN,10
BURO_DAYS_CREDIT_MIN,10
PREV_DAYS_DECISION_MAX,10
NAME_INCOME_TYPE_State_servant,10
PREV_AMT_DOWN_PAYMENT_MEAN,10
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,10
PREV_CODE_REJECT_REASON_XAP_MEAN,10
INSTAL_AMT_INSTALMENT_SUM,10
ORGANIZATION_TYPE_Self_employed,9
ORGANIZATION_TYPE_Military,9
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,9
ACTIVE_DAYS_CREDIT_MIN,9
ORGANIZATION_TYPE_Construction,9
POS_SK_DPD_DEF_MAX,9
TOTALAREA_MODE,9
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,9
CLOSED_DAYS_CREDIT_ENDDATE_MIN,9
FLOORSMAX_AVG,9
BURO_DAYS_CREDIT_VAR,9
APPROVED_AMT_APPLICATION_MAX,9
BURO_DAYS_CREDIT_UPDATE_MEAN,9
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,9
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,9
APPROVED_AMT_ANNUITY_MAX,9
PREV_CNT_PAYMENT_SUM,8
ORGANIZATION_TYPE_Transport_type_3,8
REFUSED_AMT_ANNUITY_MIN,8
POS_NAME_CONTRACT_STATUS_Completed_MEAN,8
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,8
APPROVED_HOUR_APPR_PROCESS_START_MAX,8
CC_NAME_CONTRACT_STATUS_Sent_proposal_MEAN,8
CC_AMT_BALANCE_MEAN,8
AMT_INCOME_TOTAL,8
ACTIVE_MONTHS_BALANCE_SIZE_SUM,8
APPROVED_RATE_DOWN_PAYMENT_MAX,8
APPROVED_AMT_GOODS_PRICE_MIN,8
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,8
PREV_AMT_APPLICATION_MAX,7
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,7
PREV_HOUR_APPR_PROCESS_START_MAX,7
CC_AMT_INST_MIN_REGULARITY_VAR,7
BURO_MONTHS_BALANCE_SIZE_SUM,7
PREV_AMT_APPLICATION_MIN,7
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,7
APPROVED_RATE_DOWN_PAYMENT_MEAN,7
YEARS_BEGINEXPLUATATION_MEDI,7
CC_AMT_BALANCE_MIN,7
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,7
APPROVED_DAYS_DECISION_MEAN,7
CC_AMT_PAYMENT_CURRENT_SUM,7
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,7
REFUSED_DAYS_DECISION_MIN,7
PREV_NAME_GOODS_CATEGORY_Photo_Cinema_Equipment_MEAN,7
CLOSED_DAYS_CREDIT_MIN,7
REFUSED_APP_CREDIT_PERC_VAR,7
BURO_STATUS_0_MEAN_MEAN,7
APARTMENTS_MODE,7
YEARS_BEGINEXPLUATATION_AVG,7
PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,7
REFUSED_DAYS_DECISION_MEAN,7
NONLIVINGAREA_AVG,7
PREV_PRODUCT_COMBINATION_Cash_X_Sell_high_MEAN,6
INSTAL_PAYMENT_PERC_MAX,6
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,6
PREV_PRODUCT_COMBINATION_Card_Street_MEAN,6
CLOSED_DAYS_CREDIT_MEAN,6
CC_AMT_DRAWINGS_CURRENT_VAR,6
APPROVED_AMT_DOWN_PAYMENT_MEAN,6
INSTAL_PAYMENT_PERC_VAR,6
BURO_STATUS_C_MEAN_MEAN,6
INSTAL_DPD_MAX,6
PREV_AMT_CREDIT_MIN,6
BURO_CREDIT_TYPE_Consumer_credit_MEAN,6
CC_AMT_DRAWINGS_CURRENT_MEAN,6
INSTAL_COUNT,6
PREV_NAME_CLIENT_TYPE_New_MEAN,6
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,6
CC_AMT_PAYMENT_CURRENT_MAX,6
APPROVED_APP_CREDIT_PERC_MIN,6
APPROVED_HOUR_APPR_PROCESS_START_MIN,6
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,6
ORGANIZATION_TYPE_School,6
CC_AMT_PAYMENT_CURRENT_VAR,6
BURO_STATUS_X_MEAN_MEAN,6
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,6
PREV_NAME_PRODUCT_TYPE_x_sell_MEAN,6
PREV_NAME_YIELD_GROUP_middle_MEAN,6
HOUR_APPR_PROCESS_START,6
APARTMENTS_MEDI,5
ACTIVE_AMT_ANNUITY_MEAN,5
REFUSED_HOUR_APPR_PROCESS_START_MEAN,5
ELEVATORS_AVG,5
ENTRANCES_AVG,5
LIVINGAREA_MODE,5
BURO_AMT_CREDIT_SUM_DEBT_SUM,5
INSTAL_DPD_SUM,5
OCCUPATION_TYPE_Accountants,5
PREV_NAME_PORTFOLIO_POS_MEAN,5
PREV_NAME_GOODS_CATEGORY_Clothing_and_Accessories_MEAN,5
APPROVED_AMT_APPLICATION_MIN,5
FLAG_DOCUMENT_18,5
CC_AMT_DRAWINGS_POS_CURRENT_SUM,5
REFUSED_AMT_CREDIT_MAX,5
CLOSED_DAYS_CREDIT_UPDATE_MEAN,5
PREV_AMT_GOODS_PRICE_MIN,5
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,5
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,5
PREV_AMT_DOWN_PAYMENT_MIN,5
POS_NAME_CONTRACT_STATUS_Signed_MEAN,5
POS_NAME_CONTRACT_STATUS_Returned_to_the_store_MEAN,5
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,5
ORGANIZATION_TYPE_Business_Entity_Type_3,5
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,5
PREV_NAME_PORTFOLIO_Cards_MEAN,5
CLOSED_MONTHS_BALANCE_SIZE_MEAN,5
CC_CNT_DRAWINGS_CURRENT_MAX,5
REFUSED_AMT_CREDIT_MIN,5
ACTIVE_AMT_ANNUITY_MAX,4
BURO_CREDIT_TYPE_Car_loan_MEAN,4
CNT_FAM_MEMBERS,4
CC_AMT_BALANCE_MAX,4
PREV_PRODUCT_COMBINATION_Cash_Street_middle_MEAN,4
LANDAREA_MEDI,4
APPROVED_AMT_CREDIT_MEAN,4
REFUSED_RATE_DOWN_PAYMENT_MAX,4
NONLIVINGAREA_MEDI,4
REFUSED_AMT_GOODS_PRICE_MEAN,4
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,4
BURO_DAYS_CREDIT_ENDDATE_MIN,4
OCCUPATION_TYPE_Drivers,4
